Elapsed Time (s),Hot(C),Cold(C),Tset(C),Voltage(V)
217.3863783,30.62,10.19,10,4.27
217.8208234,30.62,10.19,10,4.28
218.3619659,30.62,10.19,10,4.26
218.9007041,30.62,10.19,10,4.19
219.3353198,30.62,10.19,10,4.22
219.8801715,30.62,10.19,10,4.27
220.4221106,30.62,10.19,10,4.31
220.8595853,30.62,10.19,10,4
221.4039886,30.62,10.19,10,4.83
221.8424485,30.62,10.19,10,4.3
222.3906174,30.62,10.19,10,4.29
222.9333971,30.62,10.19,10,4.3
223.3700745,30.62,10.19,10,4.36
223.9151852,30.62,10.19,10,4.29
224.3511024,30.62,10.19,10,4.27
224.8971958,30.62,10.19,10,4.22
225.4410636,30.62,10.19,10,4.29
225.8774199,30.62,10.19,10,4.39
226.41941,30.62,10.19,10,4.27
226.8544717,30.62,10.19,10,4.24
227.4009969,3062,10.19,10,4.38
227.9432604,30.62,10.19,10,4.23
228.3765957,30.62,10.19,10,4.31
228.9328187,30.62,10.19,10,4.42
229.3691626,30.62,10.19,10,4.37
229.9128268,30.62,10.19,10,4.32
230.4585173,30.62,10.19,10,4.24
230.8935168,30.62,10.19,10,4.23
231.4376431,30.62,10.19,10,4.3
231.872848,30.62,10.19,10,4.29
232.4158833,30.62,10.19,10,4.64
232.9610054,30.62,10.19,10,0.34
233.3903358,30.62,10.13,10,4.27
234.912101,30.62,10.13,10,4.27
235.4530544,30.62,10.13,10,4.67
235.8864763,30.62,10.13,10,4.24
236.4295483,30.62,10.13,10,4.48
236.9733329,30.62,10.13,10,4.27
237.408464,30.62,10.13,10,4.32
237.9536884,30.62,10.13,10,4.25
238.3876417,30.62,10.13,10,4.25
238.9300604,30.62,10.13,10,4.29
239.4689603,30.62,10.3,10,4.25
239.9055314,30.62,10.13,10,4.26
240.451441,30.62,10.13,10,4.28
240.8881066,30.62,10.13,10,4.31
241.4306762,30.62,10.13,10,4.29
241.9732692,30.62,10.13,10,4.28
242.4113271,30.62,10.13,10,4.41
242.9545341,30.62,10.13,10,4.28
243.3899419,30.62,10.13,10,4.36
243.9393024,30.62,10.13,10,4.23
244.492013,30.62,10.13,10,4.32
244.9346533,30.62,10.13,10,4.27
245.4861391,30.62,10.13,10,4.28
245.9294112,30.62,10.13,10,4.27
246.4785721,30.62,10.13,10,4.31
247.9473865,30.62,10.13,10,4.37
248.5023959,30.62,10.13,10,4.29
248.9422119,30.62,10.13,10,4.34
249.4914036,30.62,10.13,10,4.25
249.9267385,30.62,10.13,10,4.28
250.46998,30.62,10.13,10,4.28
251.0140638,30.62,10.13,10,4.26
251.4521723,30.62,10.06,10,4.3
251.9955697,30.62,10.06,10,4.29
252.4264975,30.62,10.06,10,4.31
252.9699237,30.62,10.06,10,4.31
253.5133533,30.62,10.06,10,4.64
253.9488747,30.62,10.06,10,4.23
254.493753,30.62,10.06,10,4.23
254.928849,30.62,10.06,10,4.27
255.4729724,30.62,10.06,10,4.22
256.0201902,30.62,10.06,10,4.28
256.4549139,30.62,10.06,10,4.29
256.9999318,30.62,10.06,10,4.27
257.4337254,30.62,10.06,10,4.14
257.9772947,30.62,10.06,10,4.32
258.5221097,30.62,10.06,10,4.26
258.9577851,30.62,10.06,10,4.31
259.5007064,30.62,10.06,10,4.26
259.9389322,30.62,10.06,10,4.97
260.4848347,30.62,10.06,10,4.27
261.0269873,30.62,10.06,10,4.06
261.4571531,30.62,10.06,10,4.27
262.0005121,30.62,10.06,10,4.24
262.544291,30.62,10.06,10,4.3
262.9793656,30.62,10.06,10,4.27
263.5224402,30.62,10.06,10,4.29
263.9558434,30.62,10.06,10,4.3
264.5017819,30.62,10.06,10,4.3
265.0482135,30.62,10.06,10,4.24
265.4837537,30.62,10.06,10,4.27
